compound_id,standard_inchi_key,compound_name,bioactivities
CHEMBL402846,YEPNVBNYCRGZRX-UHFFFAOYSA-N,SID103904338,205
CHEMBL511337,QKAONCSNINNEGU-UHFFFAOYSA-N,,204
CHEMBL516312,JTSLALYXYSRPGW-UHFFFAOYSA-N,,203
CHEMBL1254209,CQXAPCMYRSTDGK-UHFFFAOYSA-N,,201
CHEMBL408019,AXWDQRXGOKDXJT-UHFFFAOYSA-N,,200
CHEMBL450519,CIGMIXWAESLRNR-UHFFFAOYSA-N,,200
CHEMBL526901,CFDCGXXHXUZSNP-UHFFFAOYSA-N,,199
CHEMBL282342,SBGMPUIVPOGTGN-UHFFFAOYSA-N,,198
CHEMBL515466,GZGRGXPFYDFNHF-UHFFFAOYSA-N,,197
CHEMBL233000,OKFHWMLGUMHKFC-UHFFFAOYSA-N,,197
CHEMBL514582,QMTVJEFAHHTNDS-UHFFFAOYSA-N,,197
CHEMBL86755,SEZFNTZQMWJIAI-FLIBITNWSA-N,,197
CHEMBL478649,BOPSUAHGQHFKGG-UHFFFAOYSA-N,,195
CHEMBL1964275,DANPUZSWWCDWEM-UHFFFAOYSA-N,,195
CHEMBL364623,WFRLFWGASBLYTC-UHFFFAOYSA-N,DASATINIB,195
CHEMBL412142,AQGNHMOJWBZFQQ-UHFFFAOYSA-N,CHIR-99021,189
,LSNPHHKHXUPAIC-UHFFFAOYSA-N,DOVITINIB,182
CHEMBL2178734,WNWSUJQVZJJGLF-SQFISAMPSA-N,GSK-3 INHIBITOR IX,181
CHEMBL253969,HXHAJRMTJXHJJZ-UHFFFAOYSA-N,SID137275944,160
CHEMBL592030,LRZYYIZFBXFSJB-UHFFFAOYSA-N,SID103904960,160
CHEMBL1084546,MZDKLVOWGIOKTN-UHFFFAOYSA-N,PF-562271,156
CHEMBL458997,UYJNQQDJUOUFQJ-UHFFFAOYSA-N,SID103904601,155
